,idpermiso,nombrepermiso,descripcionpermiso,statuspermiso
0,b58cc9bfb49e42359a55d8efd18fe539,Read,Vf1AhuzSGR28CjI5cA3jBrMlk,Activo
1,2f1d68d752604586882f2904ffe13495,Create,a21R7bjvefTJ7Vs6H4SzVjDrV,Activo
2,3988846d03de41e3bb97f5e09854abea,Delete,KPtLIJIOKO7G7OjeVkZK41rbJ,Activo
3,f5e9dceef43944d186801d73ee965164,Read,UvqZ6c3K5L4yRq3yg9ZhBnGTN,Activo
4,fa7578e94499466f94649ae47c6dd89e,Delete,i6v3KzkBq4uR5r6q1nlkmTApZ,Activo
5,803415b06f9d4f76ba8400ff6ac12bdd,Delete,1CVfc8Jgr5pyTxGvwKWZpmX0o,Desactivo
6,df20107e76e84cc595a1d4970ac8b5de,Delete,jx7UxlwbEr3FAbr1PFEPQ44qB,Activo
7,a6c43f5619884ade8ad4a71f2dc13333,Delete,xBPRRqDYoCQ2CIh75pxA4vZVC,Activo
8,2c1c9110b1164391847caae5fc076886,Create,NEt0fLi6jML0bgc4ef8nP7jcA,Activo
9,b4dac0a87a0640238fe8f1fc2e44d84e,Create,9i6uEELXu6khNjT6jlvnpqHgP,Activo
10,833ae28e5c9b4dab9680cc4abd1a4279,Delete,evfOl4C5WFp9hrudyfY0Ev8pu,Activo
11,ce4eae2e0a8645e9b24c542fbc9713d8,Read,LVWnKibWnoTQQr6JnYDFoDo8M,Activo
12,b5f98f2608214fa5a97f5c400b80505b,Create,atzjAJ9vFXjJGt1RA23blFA9a,Activo
13,aec0e5cea73d4f36a90d97b8ad16a357,Update,ZmVShVtUGwb6UfSePnueZmI3O,Desactivo
14,451c9177fef54e26a4f3c8f488383f23,Delete,5UOz0fcbGj1rSkBIwPeFPkij7,Desactivo
15,b98a79ebb3ef442bb98978a7c7896901,Read,E8vyWHD4I7ttdgZ54Zg5kztYU,Activo
16,67918ba57ae24583a06859e15a82df7b,Create,tMWKcFWXwemmr25iT8AawIkfW,Activo
17,d84b5c980a11494f8dfa80d9834c06c7,Delete,UQ7mgrAdqTPbJe3W73OZ6Tg71,Desactivo
18,78d405e8e03045b0bcca817a21d7d6e2,Delete,a4JK2HI6ijJIaaQNofYsg6GD1,Activo
19,426aa5e9125640d5be7c45dd1da5e08d,Update,eQRzGe8XyHGKAgSDetlomNXsN,Activo
20,4fb613bb227247178e32c98c97d29fde,Update,C5Tay7EueaIKlgFPOeOYBMPdS,Activo
21,67ae8ba917a24f06825ca9fc855b4b53,Update,Sgq1wl03OsGJUYnDmcxMBMgvG,Desactivo
22,9dd2d83896b0489da7e1389183ebc9df,Create,oyWreqXemeLkLBEhPJ4yjX4ST,Activo
23,24737627cfc7442fbfc34bd6e9382eb5,Create,0JpD6VfUG8YAKmjCDa8pVdh8l,Activo
24,a2388d4f6d4e4de8a5639fcb6dfec720,Create,YQbnu1GjTLqvFWLWNI0p9cv1O,Desactivo
25,981bac67965d47f9b84d02e2cdb09297,Read,lfwA5jfYUhJ32FbAe9I1Avz8Q,Activo
26,17ebdcc758ff4e89a07abe46f9c2a0e0,Create,4oe4rQgtP8i3GeocRy2ESXDJm,Activo
27,f3fc4628a9884254849097ef3846d338,Update,qpK064E72k4qsHSrlY1l9TKYZ,Desactivo
28,23d750caa7ae4a1496271543164d6bc0,Read,hf596IvuNj47qxGvTN8VvfOG0,Desactivo
29,d74d0a67805148ecba6d51c24953b5b2,Update,VeS3BPjywNRLsmKVU6isrQYIs,Activo
30,191888679327485fafd9ab38d40d03ce,Update,2jIpyL3oWsov7xneV3qJD5yah,Desactivo
31,7f4d2193a86d4a0a872847535c85fcfd,Delete,1AlyuBirkD728nUdW7zNJcWdR,Activo
32,d689f984dc4b47b38bb45bb9c1a02882,Update,mJ2NrmeLm1mkHJS8VHC1ndtK5,Activo
33,8b77489d757f439798dca9f5ff4f4a74,Create,YW1XklE4eRdXBhwUrnjZCc2kY,Activo
34,2cfc6cf53dbc49308f02cd9faded39a7,Delete,EvUeSmm8wpUzVWVWvKw3t7aOE,Desactivo
35,fac3b3abf02b4cac86c40aa276235da1,Read,yb21JLv7CcdyJNt6wWhtw1d3t,Activo
36,6704808b73e545ec8784c328b48e128e,Create,bYcJdRblgeasus1nQagRhWwzC,Desactivo
37,96e95222ea154e038d1270f9acf82208,Delete,4nlTYkPrXJ1b3ZDrPDTkZrXjv,Activo
38,13c2e9aee06f409fa6625ef7baf0390f,Read,qzBSNTexK5A4vXck9IfqovECT,Activo
39,5b4029b8ac674dfbb3b1f1834c468e8c,Update,cqQfiXckk0ZczRBZrE75Sah6A,Desactivo
40,6f5920a970534bdaa1c621dc61b9ac28,Update,1rhnMr49KAaPITvmCLAdCxNsR,Activo
41,b55ed8225a5d42bd9a848bf90c4f56c3,Read,w4pXhBYz2af4glcMsBFac5Nfy,Activo
42,f5fccf7bcfb74da2a07628a50b31d7db,Create,c6FJu1vATcyK5SfPZIwx6Wpz3,Activo
43,a181be11f15e4a5b83081ddb0a342875,Read,U16jlo5XGguVIjuOee1jbP9b7,Activo
44,bf3cf3159e13445893a841e3706b8af2,Read,BIBOABUCr2RlxDbRt4WyXV4Xm,Activo
45,b8f2bd8a4a88477a9097ce7b6740e24c,Read,aNYf62y6J9KRiVRS8x3j2EB5D,Desactivo
46,25b0cd03910b4dafb4511334d6c4df8a,Read,wNGAzisQoL5pCSJDzXqNiOPku,Activo
47,6be52014400749e1be98089eaff2018a,Delete,NVyYgrKsOSP1hneCHAMnGwWHZ,Desactivo
48,ff756c1979f04b22b901a16fee44faa5,Create,z8txQVWRaVilP5R7JB0255v3Q,Desactivo
