,INT_ID_AFILIACION,VAR_NOMBRE_AFILIACION,VAR_TIPO_AFILIACION,VAR_ESTADO_AFILIACION
0,07a14a4b31ac4abf8508c824c71d4140,Asegurado,Afiliado,Activo
1,0434b189e67a4c6aa81f3f4f3642bd10,Asegurado,Pensionista,Inactivo
2,c6a3eba2d8504ee09700e5d960287070,Voluntario,Pensionista,Inactivo
3,bb939fac565e40928d4c9f4715dce979,Voluntario,Pensionista,Activo
4,1c2c8e4598a14733b6f083edd3411488,Voluntario,Pensionista,Activo
5,7bc759f1174c426ea0cbbe9dd59ac45b,Voluntario,Pensionista,Activo
6,7809a5e432294c29abec83567c175928,Asegurado,Pensionista,Inactivo
7,e02f37035118482f9660b9143177c1e1,Voluntario,Afiliado,Activo
8,833982bfcf034d5ba4a41b47b6963bbf,Voluntario,Pensionista,Activo
9,030f0cff05aa435e8b79c9c4b3aeb311,Voluntario,Pensionista,Activo
10,d22a55cffffa4317bb481be36b3aac19,Asegurado,Afiliado,Activo
11,ec3e3d95bb0c48a29eac51c674d04854,Voluntario,Pensionista,Activo
12,8b268fffcf6145b1a58cab527cc81e7c,Voluntario,Afiliado,Activo
13,620acfc0c793454aa8d82f80967c9d9c,Voluntario,Pensionista,Activo
14,746a199f2e38481a8ad2bae1f55b333d,Asegurado,Pensionista,Inactivo
15,7591d1c97171483d97fd3eacca1e731c,Voluntario,Pensionista,Activo
16,ccd68ff8679342d2be0907e574e1a6a5,Voluntario,Pensionista,Activo
17,992f400d193445619ea0a2ecb3d8ccc8,Voluntario,Pensionista,Activo
18,4cf5d3f4217e4cf4818d8e3bc8f41737,Voluntario,Pensionista,Activo
19,1a284818b1f6465c814156a62b8a6751,Voluntario,Pensionista,Activo
20,6760e83f5b3a46089dbd289a763393a4,Voluntario,Pensionista,Activo
21,c151eb1420ea48c49022313ef6f43b93,Asegurado,Pensionista,Inactivo
22,3a7035a1d8d54503997a9c3a474c4731,Voluntario,Afiliado,Inactivo
23,c65874698a9445c7be6d70ae23ebf8c9,Voluntario,Pensionista,Activo
24,47ab659304d347499002c6b23ec1dfd5,Voluntario,Pensionista,Activo
25,186a61d4d91147c6a2938a1102414598,Voluntario,Afiliado,Activo
26,224e3e426ac74196a693bfbdef94db1e,Voluntario,Pensionista,Activo
27,c882de2a1d3c43f38b275f57597bd379,Voluntario,Pensionista,Activo
28,c36f994a60b343ac83c0a37109feeec3,Voluntario,Afiliado,Activo
29,f7980a40b683480cb8ec9a1c339f4918,Voluntario,Afiliado,Activo
30,c61de11a9e164166b5176d6162f182b1,Voluntario,Afiliado,Activo
31,2bff9333962147f1a1a3fe6d2629272c,Voluntario,Pensionista,Activo
32,862670a881284a999c227db5833a5d6e,Voluntario,Pensionista,Inactivo
33,7275fda302034345885f63d1bced3b95,Voluntario,Pensionista,Activo
34,a4c349d77d474e1eb2ddb8156d4a4f7f,Asegurado,Pensionista,Activo
35,847a3f14779347c1bc228da6bb8668cc,Asegurado,Pensionista,Activo
36,bb0b41d40ee84c1594fb4cbc28f3b195,Voluntario,Pensionista,Activo
37,2310df31ad7f4256adf0efacc89b637f,Voluntario,Afiliado,Activo
38,1b375d569b5a4f8fa6a034cd2c93609f,Asegurado,Afiliado,Activo
39,cd69a6d1acd24f2c95dee3307d1351f6,Asegurado,Pensionista,Activo
40,9e08299f3d304be9846b6dd820e36938,Voluntario,Pensionista,Inactivo
41,5cab86b4d0104a0eb5034ce76cf75fbb,Voluntario,Pensionista,Activo
42,e199a7e0a61e4325808cdd636719b2b9,Voluntario,Afiliado,Activo
43,6744784aa8cb44d5bbe9b86bb7f4e789,Voluntario,Afiliado,Activo
44,c91773d765724135a611de7549c21497,Asegurado,Pensionista,Activo
45,e7956e83abed435d93fc5807a4774c43,Asegurado,Pensionista,Activo
46,b9bc4935065b4625868448c4b797a3a1,Voluntario,Pensionista,Inactivo
47,05639da13e9c4b76806afadea49f8766,Voluntario,Pensionista,Activo
48,8b3d379982124995bf861aea79aa9e0d,Voluntario,Pensionista,Activo
49,615e28c239ac41a6854aa651d5a90753,Voluntario,Afiliado,Activo
50,1bb9de9ad2ed43c390148ea118cc8b89,Voluntario,Pensionista,Activo
51,4f4c1afda3a94d27be5b598fe0b60aa8,Asegurado,Pensionista,Activo
52,162af7d2407f49ad96d49922a0a36c93,Voluntario,Afiliado,Activo
53,9eb961a996d54ad3b2df0770b0806e7b,Voluntario,Pensionista,Inactivo
54,3bf9f4343faf4768ba732b72ffd9855d,Voluntario,Pensionista,Activo
55,08b754722b3946a7a6930bdb2945c539,Asegurado,Afiliado,Activo
56,102a567d0eeb434c9f5825767f2138b1,Voluntario,Afiliado,Activo
57,870c74b084184e2d847fe56e624f1a1a,Voluntario,Afiliado,Inactivo
58,3c7af8f725b444caa0048ed2787e702b,Asegurado,Pensionista,Activo
59,2990498d90c8493b9a535c14810b4ef4,Voluntario,Afiliado,Activo
