,VAR_ID_APORTACION,DT_FECHA_APORTACION,INT_NO_APORTACION,VAR_DETALLE_APORTACION,VAR_MONTO_APORTACION
0,0cd15d4605b64d2b9851ec3ed6fcee8b,06-12-2021,67,Revisar mínimo de aportes,535
1,95105f4dc59c4d71850d064fb8255ef8,28-01-2020,63,No realizo la décima aportación,808
2,1add0182442f4966be11d59ebbc464ef,25-10-2022,13,Problema con tercera aportación,020
3,9570a459dc10406586cd1336d17d90a5,06-07-2021,47,Problema con tercera aportación,521
4,b428f2d5f1da48e38a392e6f67b45218,13-02-2021,88,No realizo la décima aportación,459
5,97c98bd0cc3e4a1eb4d401ddc05e4357,31-07-2021,99,Primera aportación puntual,456
6,e32681f111ca40048adabe22bd45c716,03-11-2022,05,Problema con tercera aportación,699
7,8115be10efdf4ac294357151a722292c,05-08-2022,35,No realizo la décima aportación,987
8,ed7ca1820548442680837a70233e48ed,04-12-2020,40,Primera aportación puntual,302
9,6ccaa414d156444d96ab8c3a3a244e15,05-10-2022,11,Problema con tercera aportación,483
10,be8b6a9e93b24266bc76c93312cadb12,02-11-2022,51,Monto de aportes,077
11,ebd415e888a94756bcb094e3c197611b,28-01-2022,09,No realizo la décima aportación,057
12,bfdc682c266945459a5324edafdbb3ab,01-05-2022,24,Problema con tercera aportación,634
13,805ba8ddaedd4cc486c76fa21d276c7b,28-05-2022,24,Problema con tercera aportación,888
14,a85f6de1d7cf468bbab2e73cc39f2d1a,13-11-2021,52,Problema con tercera aportación,019
15,cb22abe608984480b24d75d573099bcd,03-04-2022,97,No realizo la décima aportación,478
16,8afe54f490a54a1aaca0e801eb38ec5b,26-11-2022,32,Monto de aportes,607
17,fd272c5bd43a4cea8690e4845ea0ddac,24-01-2022,11,Primera aportación puntual,468
18,88c861a7853c4f0787833882d6915e7d,16-05-2020,33,Revisar mínimo de aportes,264
19,be70b08b35954e298df8653bc43236ff,14-10-2022,82,No realizo la décima aportación,990
20,3fd1a8bc81ac4cb2b528273e4f0511c0,30-03-2022,90,Problema con tercera aportación,705
21,c86b702af80e4cda99871716281dd8c3,11-05-2020,70,Primera aportación puntual,447
22,c3de7f21f7184184b87d10fbe9f11e50,14-06-2020,99,No realizo la décima aportación,284
23,d4f510965d7d4502a30273d04207a38c,09-11-2020,32,Problema con tercera aportación,682
24,cafa60011ead4675a5d822188e5bbeec,06-09-2021,32,Primera aportación puntual,764
25,fde26a413aea4063947afda7ccd15b0c,23-11-2022,48,Primera aportación puntual,441
26,211e0750594f40ffb4a1c34e20f40e83,07-09-2021,02,Problema con tercera aportación,488
27,176a345152764e048d1a95799be794a2,04-04-2022,80,Primera aportación puntual,551
28,a89d82eed25744f28509929b70e58860,05-04-2022,48,Problema con tercera aportación,575
29,a409ea1c98c54a009814f79e5538ac0f,07-09-2021,05,Problema con tercera aportación,093
30,61fa0f04ee0e428798581f7f9c192210,07-12-2021,08,No realizo la décima aportación,528
31,fd6833f1236248eda152600163793d5c,01-04-2021,66,Revisar mínimo de aportes,798
32,3417529f1f3442179d437bba3c81a359,21-06-2022,82,Monto de aportes,798
33,61cd16cd16e649f889de110956fddc6e,11-07-2021,04,No realizo la décima aportación,819
34,23c6d4a60a3a45e3b821a92343e4340a,27-12-2022,98,No realizo la décima aportación,848
35,bdb309fc372446c983293add92ad3d04,18-03-2021,76,Problema con tercera aportación,160
36,7993cca613d84728a4cf3d75e7cefc4d,13-02-2021,21,Primera aportación puntual,800
37,36539544b03a4d3c9f630f5ba369b6fc,09-04-2021,67,Monto de aportes,476
38,995d1b9ba346472088c5d039deea32a7,07-11-2021,16,Primera aportación puntual,671
39,38c61cea948449bdab59ced6d8b05fb6,26-08-2020,84,Primera aportación puntual,583
40,ec075f9aee444ce8afa33eb51d8ed450,12-09-2021,84,Monto de aportes,237
41,57f97aeed14f4a689152348ab55f88e8,02-06-2021,62,No realizo la décima aportación,337
42,721ffae40ea44d42820e8f23c10ea7ae,31-12-2020,82,No realizo la décima aportación,997
43,a57f08155f6c4b5fa92751ca24f3e933,25-07-2020,88,Monto de aportes,558
44,1681a3b7ea744ee78c5ef13e75b1d54c,24-05-2020,51,Monto de aportes,402
45,857bcf734e28469eb5883e3787d2ece4,07-02-2020,46,No realizo la décima aportación,614
46,dced7ca96bef4d2c944c84df7ae628cd,29-06-2020,11,Revisar mínimo de aportes,093
47,b1272b7583fd412d8c9badbfe648b72a,29-07-2021,22,Monto de aportes,199
48,6a73aea738f241bb88caf132c3e5f994,11-02-2022,18,Primera aportación puntual,098
49,5ab372a71f65402f9e45561887101698,04-08-2020,18,Monto de aportes,935
50,af115068ecba41a5967b4db86725ca9d,24-11-2022,69,Problema con tercera aportación,826
51,ebeaa25c08e641f69bbb72cf90beffc4,17-12-2021,56,Problema con tercera aportación,018
52,4bc9bea034574debbfcc2e736d851f64,13-05-2020,65,No realizo la décima aportación,296
53,b920d06da5fd441ea445c52c1457dc78,26-04-2020,99,Problema con tercera aportación,115
54,25169adc863d454b923f3be4990a353c,06-07-2021,43,Problema con tercera aportación,559
55,1a086613dc3f44cd9f08bf2de33dfebc,13-10-2022,74,Revisar mínimo de aportes,140
56,6e5e9fc9b2f9471aa94555fa3c88f501,02-10-2022,31,Revisar mínimo de aportes,671
57,aaf13ac75309402d90d5a5f6bb6076c4,18-01-2023,13,Monto de aportes,939
58,c6a13af25c2a45efa7a1268575a76adc,01-03-2021,42,Problema con tercera aportación,587
59,ec47404e3d9a4a8785a22591c2f27369,18-07-2022,69,Primera aportación puntual,487
60,62e27327a56b417f94c115e6949e67a2,27-05-2020,35,Revisar mínimo de aportes,833
61,afb8cb4ffef1488883ccd2138a1b685f,23-05-2022,83,No realizo la décima aportación,197
62,99edc8b00deb4796b26fef86f710c65c,25-09-2021,87,Problema con tercera aportación,660
63,0d4ab5f542a24b9581c7bd9662ce2cf4,31-12-2020,87,Primera aportación puntual,570
64,22aeb222575f4a42a905d920fd6b3be6,15-07-2020,79,Problema con tercera aportación,130
65,ccd1c031bad14f6fbd72f060b902588a,08-04-2022,22,Monto de aportes,054
66,2f3d1b9a14504bb9a180b1b0e3c63bb4,30-04-2022,93,Monto de aportes,087
67,a51822c9fea849e28428c03f46478a69,22-12-2020,64,Problema con tercera aportación,032
68,fb9dfb246aa14582834912948ef35690,27-06-2020,55,Problema con tercera aportación,898
69,804ac3f9240b4409905a21cfbaffd522,12-12-2021,66,Problema con tercera aportación,459
70,2a5ace7f05834b59842dcb5a337d6df1,12-04-2021,04,Primera aportación puntual,049
71,96dfe9fe08fb4f8e9a57f6c7b18815c0,24-07-2021,55,Revisar mínimo de aportes,745
72,af0930963f92423c99f4f78960a55d5c,26-08-2020,84,Revisar mínimo de aportes,987
73,5de7a602d7264bab8987de0c00eaeb42,14-09-2022,34,Monto de aportes,559
74,262eec5e386b4857baa976cc7f51a8f7,02-12-2022,42,Problema con tercera aportación,437
75,fe5b8fb3ef8b4318b0edd0ffe0545af7,13-07-2022,78,Primera aportación puntual,199
76,4a831662b2d64547b7ef07a7ffdca89a,30-08-2021,93,Monto de aportes,031
77,21ce093c6c4a44a48284cd6793c65fd4,03-06-2020,39,Problema con tercera aportación,934
78,67863ac5ed9d4d2c99d463174013dcdf,16-04-2022,59,No realizo la décima aportación,668
79,17a66344f4dc41bcb9ab110e09e46d55,17-08-2021,42,Problema con tercera aportación,574
80,74f7b0255fa2480f8b7888de36fed839,05-09-2020,72,No realizo la décima aportación,660
81,cc08ad7438b549d3bb932bca79c5f48f,20-01-2023,49,Problema con tercera aportación,919
82,7b93eae41d7f404496e6f9f2e119d3b7,17-03-2020,03,Problema con tercera aportación,451
83,8805cbc7ea084e858ffabc48a76db21c,08-12-2021,61,Problema con tercera aportación,246
84,60d73091f9034ab6b916689b74c386d8,08-11-2022,95,Primera aportación puntual,695
85,525ce6ce2cb747a3bef3f771709d3e75,28-07-2022,47,Monto de aportes,896
86,2e6eaff969af40c29adedad7136bcb22,28-07-2021,58,Monto de aportes,906
87,2b2677e98fcc46748a7c79836d39ca0d,09-07-2020,67,Monto de aportes,087
88,8aba78fc6fa44a198a53b71313fcf408,05-07-2020,85,Monto de aportes,557
89,80fbad36dab342a08a28925c9950c385,23-01-2021,62,Revisar mínimo de aportes,690
90,c8c9e8b2b79940c581830232594ffd70,26-07-2020,64,Monto de aportes,092
91,bf84106f031a49ab983674d8b1e99ee1,05-03-2020,14,No realizo la décima aportación,005
92,e88d8530ca914ac8982ec8e029442e15,07-02-2020,61,Problema con tercera aportación,389
93,fa769cc91d5d4b448fd3ee2a8cba669b,03-11-2020,54,No realizo la décima aportación,310
94,669d2e24201546ce8fcd8bdb8fd6dafc,13-12-2020,88,No realizo la décima aportación,952
95,ecf56c5a58194a55ad2ac81faf228321,02-04-2022,72,Monto de aportes,510
96,047eec29d7cc44c0978ffa31d1c2fe18,16-05-2021,81,Primera aportación puntual,815
97,ca2908ec41af40a2b3cc97cf8d3443c8,20-01-2023,52,No realizo la décima aportación,624
98,fe2cb2b864bc4fb29b8054f9701b49b3,19-06-2021,32,Monto de aportes,499
99,009a3c68c36d4c219d7ab8bb51726137,11-08-2020,46,Revisar mínimo de aportes,279
100,ec0062d287a041ceaa513bf1d407defe,06-11-2020,01,Primera aportación puntual,746
101,9923a6ac3dac40a49adfa247efbe2d2d,01-05-2022,16,Problema con tercera aportación,843
102,45b31d9d2b5947d08f2de2fa26f61ea7,20-11-2021,79,Primera aportación puntual,962
103,018835c693e247cb9c3542a9f3d76e5b,17-12-2021,37,Revisar mínimo de aportes,609
104,09056d2172e64c5997c61444a0879f09,13-11-2020,31,Problema con tercera aportación,766
105,904fded77fa04b2bbfa5e29ab86086c8,24-09-2020,23,Problema con tercera aportación,199
106,be79b72ace9b4a91a8056d37dae5b8c5,24-12-2020,11,Monto de aportes,726
107,49a87c2faceb483d8cffdfc02fbd725b,29-07-2020,65,Problema con tercera aportación,817
108,7e226d7d74f244839f9e95dbf03176ec,09-02-2022,49,Problema con tercera aportación,307
109,d34400d2daf64795847b5841d915e624,08-11-2020,12,Problema con tercera aportación,866
110,6688cfcd25a7448d83cea78f21fa08d0,24-09-2021,62,Problema con tercera aportación,027
111,cf8773477a8e4212af4118301bc682da,03-01-2023,44,No realizo la décima aportación,870
112,86fc6a7dedc646a1be1e7473e4d762de,15-01-2023,55,No realizo la décima aportación,434
113,9a6e7df284a843a9bb3231eaeb26665c,12-05-2020,80,Problema con tercera aportación,672
114,b419c5de52864eebbe2d306224ffd72b,23-07-2021,52,Problema con tercera aportación,036
115,b2ec2cb91d6642fda62ffb3a806f374d,23-07-2022,25,Primera aportación puntual,350
116,de52b3f4398841c1be7f259e10187292,02-07-2021,40,Monto de aportes,208
117,3c2f258ca6ee4a049a90fb2ab2c0ca89,11-11-2022,08,Problema con tercera aportación,328
118,804ecfd0c9264cdc8ca7df41711d1985,20-10-2020,34,No realizo la décima aportación,922
119,8e16c655bd6142e2a7fe87964bf60aa9,24-01-2021,54,Problema con tercera aportación,370
120,bfa4b41de1584440956f86fba380b321,29-09-2022,30,Problema con tercera aportación,134
121,c9440cc00a964e838b955828dca7ad9a,29-09-2022,74,Problema con tercera aportación,086
122,8d71eaebc7074051b886ce3e41b9a014,27-01-2022,39,Problema con tercera aportación,160
123,4fc227f7be834277b52555647973813b,30-09-2020,99,Revisar mínimo de aportes,262
124,e1578e8e291742959385060f78737426,03-05-2022,81,Problema con tercera aportación,840
125,81f27479dcb14daa8fc79d6c2e917dd9,22-03-2021,86,Problema con tercera aportación,663
126,0ce75bfa9f9a4c4780c4f1d5c0cd3f4b,13-07-2022,37,Problema con tercera aportación,750
127,8f0a5cc1d83f41c686642e8e62ce1e50,12-01-2021,41,Problema con tercera aportación,868
128,aa2291c0f79449a58a6c11c0d7652e9b,28-11-2022,77,Problema con tercera aportación,493
129,b6e4e6a29d4640ac987516d8686804d0,31-10-2021,86,Revisar mínimo de aportes,384
130,fead1ab967f444908b3f4ac197667e14,20-08-2022,99,Problema con tercera aportación,911
131,d10bc98e67be412e8e6daea28bd4443d,02-08-2022,10,Primera aportación puntual,408
132,fc927f8bbc3d4851944f1f8492a847c9,10-10-2022,81,Monto de aportes,884
133,22acf18cb32748459d9d62b597514fd6,19-05-2022,87,No realizo la décima aportación,162
134,057ff3194b9c43ffa062d383a3caca1f,29-05-2022,46,Primera aportación puntual,873
135,ef06b812513e4e73ac501c574ba1ecf7,20-04-2022,87,Monto de aportes,154
