,INT_ID_EMPRESA,VAR_NOMBRE_EMPRESA,VAR_DETALLE_EMPRESA,VAR_RESPONSABLE_EMPRESA,VAR_PROVINCIA_EMPRESA,VAR_CANTON_EMPRESA,VAR_PARROQUIA_EMPRESA
0,ab3a404c8ccf4efea958b3dfdf64a0f8,Ryan Charles,Servicio de telecomunicacion,Brian Rowe,Imbabura,Manta,Santa Cecilia
1,15053f6ad01f46a3add74e76b326a302,Robert Smith,Editorial de libros,Scott Leon,Zamora Chinchipe,Flavio Alfaro,La Libertad
2,1a02ad0ca5f648718ecdcd6bd0234dca,Craig Love,Museo,Gary Baldwin,Manabi,Pindal,Chile
3,5b526f40b8f34145b451b0cd32068509,Kimberly Terry,Empresa de ropa,Felicia Johnson,El Oro,Nangaritza,Taisha
4,235ebcb060ec4ff1b5806e2a9adc31c6,Nicholas Harrington,Albergue de animales,Craig Lee,Manabi,Cumanda,Shimpis
5,3eb989a2aff64cac87b3ac98a84a8247,John Jones PhD,Orfanato,Brandon Herrera,Pichincha,San Juan Bosco,San José de Dahuano
6,5f09776421734c0f8ca8f03cad18ff56,Jeffrey Ford,Orfanato,Steven Gray,Esmeraldas,Chimbo,Chillanes
7,d9d7986912c940dd8cc43877c97738fd,Zachary Smith,Empresa de electrodomesticos,Dillon Miranda,Los Rios,Pallatanga,Matriz
8,f04211b2c2f0450eaf35e3276b28a125,Jessica Jones,Empresa de zapatos,Jennifer Wilson,Guayanas,Cañar,Palma Roja
9,41c49e48f40d4c228b59186da70f452a,Allison Best,Ferreteria,Julie Gibbs,Francisco de Orellana,Jipijapa,Carondelet
10,f5c9d711477743feb9761a0dd7b930b6,Rebecca Allen,Museo,Jessica Blackburn,Loja,Espejo,Shimpis
11,1efb30e2b96b474dbc7bc3965fa59290,Donald Riley,Albergue de animales,Marcus Smith,Morona Santiago,Guayaquil,Chillanes
12,f8fc31951b4f48c19450fb4196a5acca,Michelle Butler,Orfanato,Brandy Roberson,Manabi,El Chaco,Borrero
13,ed8aa4c4f6474f4cb520969813376a46,Alan Wright,Elaboracion de instantaneos,Troy Donaldson,Cañar,Chaguarpamba,Saquisili
14,76de236e713f42fc937652c6f1378686,Jamie Martin,Ferreteria,Connie Mata,Santa Elena,San Miguel,Sinai
15,db8f417b880f4e87ae34888bd8c4bfd2,Jon Young,Empresa de bebidas,Patrick Garcia,Cañar,Cascales,La Sofia
16,6ed537de4cc14c5f9133264498331ceb,Julie Johnson,Orfanato,Stacey Reynolds DVM,Guayanas,Buena Fe,Zumbi
17,bc48a03fed9a432d840ccd5f2c9d9419,Joshua Morgan DDS,Editorial de libros,Isaiah Lee,Santa Elena,Chinchipe,Timbara
18,680e806335094606b6d37486e9ec6732,Shelby Mitchell,Empresa industrial,Savannah Murphy,Santa Elena,Santa Isabel,Tenguel
19,cf44674fe7404ed387d527bb2dabf407,Christopher Watson,Ferreteria,Terrance Brown,Tungurahua,Flavio Alfaro,Las Golondrinas
20,f7cb980ff85444138c17ed0eb9b918f5,Jennifer Carter,Orfanato,Michelle Carrillo,Manabi,Gualaquiza,Cañi
21,56f7ed8d53284f16a685c216477c18f7,Megan Hall,Empresa industrial,Paula Martin,Guayanas,Lago Agrio,Rocafuerte
22,b4a7b2d6c8f54036ab5baa25e141ea93,Leslie Norton,Orfanato,Jessica Carr,El Oro,Biblian,El Carmen
23,f3ab19d6d735409d9c66c88b30aefe17,Nicole Montgomery,Empresa de juguetes,Stephanie Johnson,Los Rios,Tosagua,Bellavista
24,297f5f83a90f4a0d9e5be5a2f5d00594,Ashley Strickland,Orfanato,Danielle Gonzalez,Santa Elena,Paute,El Angel
25,32c5152f7b3449fbbdcd52e57fc02215,Rhonda Carroll,Orfanato,Sandra Davis,El Oro,Pallatanga,Rio Toachi
26,7886a6e6a2aa48a5ae5b56e08a3fcf36,Christopher Brown,Empresa de carros,Francis Hicks,Los Rios,Montufar,Salinas
27,270fd29529cc4c0c8086f74b9e2335cc,Kevin Lozano,Empresa de bebidas,Jesus Harvey,Pastaza,El Pangui,Dayuma
28,dddf3f7c15ac49569fabcf0b52e85a63,Daniel Moran,Empresa de ropa,Kyle Lowe,Esmeraldas,Santa Cruz,Carcelen
29,7475c97d9fa5455895debbdb944679b0,Tammy Thompson,Orfanato,Shannon Lopez,Esmeraldas,Montufar,Toacaso
30,f62fec9cf3c044f9b078e979cf9159d1,Jennifer Morris,Elaboracion de instantaneos,Karen Henson,Guayanas,Chordeleg,Anconcito
31,a1fe4fc887f04515b0d28488e8f0a890,Charles Moore,Albergue de animales,James Barker,Cotopaxi,Duran,Rivera
32,89c8d66f5e8b4a2a87a48f4ca695c61a,Warren Montgomery,Empresa de juguetes,David Morrison,Zamora Chinchipe,La Joya de los Sachas,Cumanda
33,24d3a18961e847fdacf7c1c5f0f1f811,Stacey Russo DDS,Orfanato,Tracy Washington,Chimborazo,Puebloviejo,San Rafael
34,176c2e9ea7884f5e8c5c0c9ec03388ca,Lindsey Chavez,Empresa de ropa,Shelley Coleman,Santa Elena,Camilo Ponce Enriquez,San Rafael
35,85728a3bb45748d5986b3af3bbe46276,Joseph Thornton,Orfanato,Brad Hart,Azuay,Quijos,Jerusalen
36,3a0a1008a9d54d179a8af333098f17ce,Jennifer Lin,Orfanato,Jenny Byrd,Chimborazo,Balsas,Cebadas
37,9c49e947c7ad4668b3c29da0f6199eb7,Corey Shelton,Ferreteria,William Johnson,Tungurahua,Arajuno,Cañi
38,c11bb2d20e44433ca3d619464aab1f2e,Carrie Wilson MD,Orfanato,Alexis Glass,Napo,Biblian,Pansaleo
39,bde4a8ba3bd3481ca1e85eabf6dea88d,Carolyn Edwards,Empresa de electrodomesticos,Bianca Allen,Tungurahua,Baños,Tarqui
40,bed18aebb3ff442ab0aed476f78a9f61,Jeffery Rosales,Empresa de bebidas,Ralph Castro,Guayanas,Guachapala,Piedras
41,b4b31a71bd9747a5b31fc7751749b05d,Carrie Fowler,Empresa de alimentos,Dr. Laura Calhoun,Santo Domingo,Puerto Quito,Pomona
42,53d14e7b6dc14ed1b9074a051f5bb906,Gerald Villanueva,Empresa de ropa,James Page,Carchi,Valencia,Palanda
43,12225d62b7704d3fb184f4d35eaeb771,Ryan Krause,Empresa de ropa,Billy Lane,Santa Elena,Yaguanchi,Salasaca
44,f64eab81626741939b8f6e3396b377ad,Michael Matthews,Elaboracion de instantaneos,Chad Mccoy,Sucumbios,Balsas,Maldonado
45,0e4cb4e319104216b1df08d313465755,Rachel Nguyen,Empresa de software,Hannah Alvarado,Morona Santiago,El Trinfo,Rumipamba
46,3727403a22304b13a7e4d1fdba11acea,Christopher Dorsey,Orfanato,Jake Watkins,Azuay,Puerto Lopez,Taura
47,58134c217cf14f439e4f1eccf4826344,Michael Armstrong,Empresa de juguetes,Dustin Mccormick,Tungurahua,Antonio Elizalde,Toacaso
48,fbce37b3fc2c4f829dae1fc7484dfdbb,Richard Casey,Empresa industrial,Peter Dennis,Morona Santiago,Sozoranga,El Angel
49,9d8f7c9d0ea74d67a45d7a1685c4d025,Dwayne Collier,Empresa de zapatos,Jeffrey Snyder,Pastaza,Putumayo,Chobo
50,2b2d8a55b046418fafc1fac0a013ebed,Whitney Harris,Orfanato,Kimberly Jackson,Napo,Guaranda,Ambato
51,7d26d4c970de45739c5ecf3d070aee87,Jamie West,Orfanato,Darren Levine,Imbabura,Guano,Salinas
52,9795886df5bd4f73ae023acd46a72c6e,Kevin Jimenez,Editorial de libros,Lonnie Rodriguez,Manabi,24 de Mayo,La Paz
53,6ff2babdc5bf459bbe76ff11dab86854,Claudia Ross,Empresa de ropa,Linda Evans,Imbabura,Huaca,Chobo
54,54b8272a035743028c599f890e4354a6,John Yates,Empresa de muebles,Tyler Garcia,Cotopaxi,Muisne,Sevilla
55,754c44ec32954089b32efd7fb748cb2f,Patrick Collins,Empresa de ropa,Adam Garrett MD,Zamora Chinchipe,Alfredo Baquerizo,Caluma
56,c773bee137bf4aa1872d80b67dd92cde,Nicholas Mckay,Orfanato,Joseph Curtis,Santo Domingo,Pujili,Ramon Campaña
57,bfeeafbc5b624795b2bf40ec0ec5a05e,Dylan Torres,Empresa de juguetes,Kevin Moore,Guayanas,Paquisha,Salima
58,fd8331320df94c4b96799e044aaf0c9c,Sara Boyd,Empresa de bebidas,Vickie White,Carchi,Paquisha,Oyacachi
59,bd7303d07f7143828f1c7eef4ed8aed1,Judith Oconnell,Empresa de ropa,Tara Yates,Imbabura,Deleg,Cordoncillo
60,c8d67d7464c8468dbd988d68f30f792a,Tammy Salinas,Empresa de software,Cheryl Morrison,Azuay,El Guabo,Tundayne
61,f6f87743c8814be3b8e0484fcca3b2ef,Colin Brown,Orfanato,Christopher Ortega,El Oro,Oña,El Recreo
62,69e95941b4b24483892d7a98e3f8a986,Alison Taylor,Supermercado,Karen Herrera,Loja,Pinias,Calacali
63,caaccf8253b84310b13c01c1a833aca9,Timothy Jones,Supermercado,James Campbell,Zamora Chinchipe,Salcedo,Cayambe
64,54e6773436be419b9dab8f3549c59424,Daniel Smith,Empresa de alimentos,Jeffrey Taylor,Imbabura,Duran,Bellavista
65,775734bd44e9491db3b51414d9c1b4bf,Alexander Benjamin,Empresa de muebles,Michael Hoffman,Manabi,Jipijapa,Bellavista
66,5646ee83dc4f48e8a930a60229aa28ab,Donald Hill,Editorial de libros,James Williams,Zamora Chinchipe,San Miguel,Dureno
67,80a3bda25dd0478f85ee17168832cc50,James Compton,Empresa de ropa,Kevin Carter,Esmeraldas,Chambo,Chaucha
68,fc7b0e75a7e2452fbd310d800cb5946e,Jeremy Skinner,Farmacia,Ralph Torres,Cañar,Las Lajas,San Blas
69,99bc0dfb660c4b249dde2db8bf5164a4,Brandon Haley,Elaboracion de instantaneos,Dennis Barajas,Carchi,Machala,Huaca
70,9d1d48d2a52a43c2b4cbf23ce9d9e64a,Paul Rodriguez,Orfanato,Gary Morris,Loja,Balsas,Anconcito
71,42e8fe7c0f1f4f6493ad0e3200680c6e,Amber Smith,Orfanato,Peggy Jackson,Napo,Naranjal,Echeandia
72,edfa1a7dfed04d3c88fa60c662b429c4,Amanda Matthews,Empresa de ropa,Valerie Best,Carchi,La Joya de los Sachas,Deleg
73,52dc274fa878445cbdcc3abf26a92ff1,Richard Hess,Ferreteria,Seth Taylor,Esmeraldas,Palanda,Chillanes
74,7e465ff9834a456c97699692d7e38df8,Ryan Neal,Empresa de electrodomesticos,Michael Johnson,Cañar,Chambo,Bilovan
75,ff078c4e5f5745f08fd43e2c4832016f,Tracy Todd,Empresa de ropa,Ricardo Shea,Galapagos,Pucara,Tusupamba
76,04f79aee2acf442684f27b8086b4cf8d,Robert Smith,Empresa de muebles,Shawn Rivera,Imbabura,Portoviejo,El Condado
77,d81ee2024ea84770ac8cc78895ad0db5,Mary Duncan,Supermercado,Heather Murillo,Tungurahua,Nabon,La Paz
78,98aed55cbcdf47b8bbffcbb2f87a1600,David Byrd,Orfanato,Barry Allen,Loja,Junin,Asuncion
79,f8789f78f835490fb908faaf7cb4bb69,Christopher Mueller,Orfanato,Christopher Evans,Pastaza,El Guabo,Chaucha
80,f9c354002ac8446a855cabbe8ed0fe74,Cody Moore,Empresa de alimentos,Trevor Schultz,Pastaza,Giron,San Gabriel
81,fb7b2b44d1654993905257a8494bdc1c,Latoya Johnston,Empresa de gorras,Elizabeth Jackson,Esmeraldas,Morona,Ramon Campaña
82,cb69f046b30f4633bf20ec201df11fe0,Daniel Campbell,Empresa de carros,Robert Smith,Loja,Paltas,La Sofia
83,cde170a1261e4adfb5ced0c2b7cb8cb7,Shaun Duncan,Museo,Timothy House,Sucumbios,Portoviejo,Huaynacapac
84,751ad58739194ab2b152bcc33a191249,Eric Jackson,Empresa de alimentos,David Hoover,Santa Elena,Balsas,Cordoncillo
85,c9bfe3adc9f9410d910268dd59ff1fe6,Melissa Nicholson,Empresa de telas,Kerri Taylor,Francisco de Orellana,Riobamba,Carondelet
86,9c039a8081304eed9c14b21da05c6644,Jessica Bradley,Empresa de ropa,Heather King,Pichincha,Simon Bolivar,Pomona
87,25205446f1484cb18eeee849c4eba398,Paula Flores,Empresa de carros,Susan Norton,Carchi,Mera,Santo Domingo de los Colorados
88,1588e2a1d5de41a7b240b4cb31160846,Morgan Smith,Supermercado,Jenny Newman,Carchi,Guamote,El Pangui
89,b1a6317ceb0d46b5aa7adfa92308e853,James Herrera,Empresa de zapatos,Aaron Allison MD,Sucumbios,Vinces,Rio Tigre
90,3030dc4b2a1c4156979810f6a73e8137,Joshua Thomas,Orfanato,Andres Huffman,Bolivar,Isidro Ayora,Huaynacapac
91,0d44069787e24423be3eb6925ca1482b,Carlos Moore,Orfanato,Omar Ho,El Oro,Santa Isabel,Yaupi
92,94e9d3a896824e09ad7631fa47a03569,Cindy Hernandez,Orfanato,Kimberly Collins,Cotopaxi,Quero,Guare
93,696fdac5bf7040b6932f533b7d24dbb7,Jason Cox,Orfanato,Michael Arellano,Pastaza,Loja,Borrero
94,2c2f18ff331c4577a9574423d69a2cbf,Barbara Vaughan,Empresa de zapatos,Deborah Patterson,Pichincha,Guayaquil,Tundayne
95,cdae6175b4e34d7daee885bd5d89e07a,Melanie Barton,Orfanato,Kimberly Bowman,Los Rios,Colimes,Cojimies
96,ae25226baeef4791817d927a38f9af7e,Amy Reed,Museo,Shannon Wilson,Napo,Latacunga,Bellavista
97,4893b511385443b696f10456fa3c475f,Justin Foley,Orfanato,Shawn Richardson,Azuay,Taisha,Salima
98,90d07e5861e248019bdc2ccb52c6b2ce,Kara Howell,Peluqueria,Kara Martinez,Santo Domingo,Portovelo,Piedras
99,fbea24f5b165495eaee0df33377bcc7b,Samuel Gomez,Orfanato,Brian Garcia,Cañar,Pujili,Santa Cecilia
100,41f511b6c7ba477c9305eeff7b1a7fe6,Jason Dominguez,Museo,Patrick Kelly,Morona Santiago,Las Lajas,Tomas de Berlanga
101,193f26a126ad46918dc3f471c702fe26,Frank Peterson,Orfanato,David Cortez,Pastaza,Centinela del Condor,Sinai
102,c208abd64559427a8c86b36def3f79da,Jonathan Cole,Orfanato,Kyle West,Sucumbios,Chillanes,El Chaco
103,6d0e46611f10450390b5543c3af7c7df,Barbara Meadows,Empresa de carros,Joan Phillips,Cañar,Zamora,Aguas Negras
104,6de1e535f06d4ca2ab654291d4fc1528,David Duarte,Orfanato,James Snyder,Esmeraldas,San Cristobal,Salima
105,2ea96e2664564142a5308c831b01427a,Nathan Sandoval,Empresa de juguetes,Jay Russell,Guayanas,Huaca,Regulo de Mora
106,807f90550d59485590c8ff4fa0fc69b6,Jodi Rodriguez,Empresa de gorras,Ruth Washington,Manabi,Pichincha,Oyacachi
107,07474b9a7b0441d88082caffd9acd320,Mrs. Jennifer Hernandez MD,Empresa de telas,Laura Shaw,Morona Santiago,Portovelo,Ambato
108,42f04e31a7bd4206b1bb5114fb146d41,Aaron Davis,Orfanato,Steven Bennett,Los Rios,Camilo Ponce Enriquez,Lumbaqui
109,0e1f6e02df3d41889314bb018d89842e,Carrie Cole,Orfanato,Briana Kane,Guayanas,Alfredo Baquerizo,El Chaco
110,88b52320be744c9e8a8dc7e017a2c1a5,Bradley Campbell,Empresa de gorras,Randy Hunt,Manabi,Simon Bolivar,Matriz
111,13c39b566dd648c8a13248e151711ccf,Dwayne Hughes,Orfanato,James Garcia,Morona Santiago,El Pangui,Pan de Azucar
112,9b966779294548b889c65682adca1171,Nathan Smith,Orfanato,Harold Little,Guayanas,San Juan Bosco,Tarifa
113,0df6c8cafe92442f9148a4944416950d,Erica Macdonald,Empresa de zapatos,Michele French,Santa Elena,Quero,La Paz
114,fc168cfb88d04d9892eab03f855887ea,Marilyn Johnson,Empresa de alimentos,Sarah Shepard,Francisco de Orellana,Sigsig,Piartal
115,ece0f6b6e729486f88bdb59aa2c5aed5,Raven Miller,Orfanato,Christina Ramos,Esmeraldas,Vinces,El Piedrerero
116,77b2a884c0ea42cfa3afbd3cc8c173bd,Steve Lucas,Orfanato,Scott Caldwell,Imbabura,Machala,Quero
117,026f171b37f8480bbf27ba1e40322359,Candace Moore,Orfanato,Katherine Harris,Tungurahua,Huaquillas,Mocache
118,e19c19e630844ac7a940fbe0ead0c105,Jeremy Pierce,Empresa de carros,Ian Lewis,Bolivar,Putumayo,Larama
119,273d216d3c5648cfb963e89747c77de8,David Navarro,Orfanato,Kyle Figueroa,Chimborazo,Nobol,Santa Clara
120,0d100ee3d6ab47b89665795f7c721057,Carl White,Albergue de animales,Joshua Moses,Los Rios,Babahoyo,Sinai
121,208bb468bd0346eb9ade2db7cd81819b,Mark Hines,Ferreteria,Matthew Walters,Cañar,Alfredo Baquerizo,Larama
