,INT_COD_ROL,VAR_NOMBRE_ROL,VAR_DETALLE_ROL,INT_ID_PERFIL
0,dfb8d115b80b46078fca17ed7d491511,Pensionista,Partido politico,1e670f962d0a49f3bdc564db8503f0a5
1,6a2c1ff648a24604bca41d980ffcc14c,Pensionista,Partido politico,ee51bfe3890b4da3ab1d7c5937e20041
2,bc63936f14424060a9ae5a4a2bb5857b,Pensionista,Pension por vejez,f621a23f69644d1b93720c73360c8e35
3,fd1c6b7c968a42cc9d16796dc80a0bbe,Pensionista,Incapacidad temporal,a503494856a746d6be041f2576a1646e
4,6d3e830e7d004ffe8102c6d6cf7da316,Afiliado,Prestamo hipotecario,d9c35f204100473f957053253617b08e
5,57fe14074dee4b5a9ffd00e105b96308,Afiliado,Por el estado,10bcb38e70544c21a200d2dcf28e32c1
6,d0aa9af0a6f74f38bcc63ccd277f849a,Afiliado,Partido politico,8835ec692443421c9fdcf0fb0c0cab63
7,61933c0b04f1422fa08fdda99e553121,Pensionista,Jubilacion,e54182f4c11645a4b5de6594641eb214
8,808b13046d394a7da27abd3611b20e9b,Afiliado,Asistencia por maternidad,a95f63c2ab8d4e6ab21275a99c87816d
9,035827d59d6543d5b81225e7ecdb301a,Afiliado,Asistencia por enfermedad,1ae6c74f7cb94efb81a753077d88e0dc
10,11d8a3a482ba4ce98575d25ef33bac21,Pensionista,Obra social,6842496c762d430e9cd05c9c86048de2
11,4a7a0dd0124741f6a8ed9c997fa7b17e,Pensionista,Incapacidad absoluta,cece95edb1aa4f6c9b2b2e9051a6e352
12,1b7e9d09296049c4985f3bbc27e8a959,Afiliado,Incapacidad absoluta,0406680a9eba4a49b7b0297c3c49bb78
13,fb76fb79273d45a4bc72c34b1d06c475,Pensionista,Obra social,01941f73ea514ba087e659891429e6c4
14,f99b0e31921f414fa71c69b193e56b2f,Afiliado,Incapacidad temporal,a0330e493d6c421eb43cffcb095fbad0
15,cdfc802b8cc74ba1b2070f5647a270e5,Afiliado,Por el estado,aa2d0da96d044f39afb67c23a5673633
16,fd9c60de08f1406daf80b85a9be814ad,Afiliado,Incapacidad absoluta,dc4a2fd0bf5e461396aebe85bf82df41
17,56bee0bc895d41e6a93bf2ac026ea1c0,Pensionista,Incapacidad absoluta,6004dc55208848f38812d3554ad3940d
18,acab03c5ef684b84871b6c77154def8f,Afiliado,Obra social,3d04e9a7b56c4438bfcbe3d8f8eb4eeb
19,e42fac91b74047e694d79a7afc560382,Pensionista,Pension por vejez,bdad357211ce4c6d845373c42f8930d3
20,a67ffd377f7545cdbe89eadb8d44c87c,Pensionista,Asistencia por maternidad,2cabc23206984d48a67e187f5c384537
21,7351e54502074f35a1c14604b55d40eb,Pensionista,Incapacidad temporal,3eb02d96ea8946d8b80399b82c825164
22,d7944903604b4c6393749ce8a676b863,Pensionista,Obra social,c6c90ec57f79410d96656f24e0041a6b
23,860423fb5ac342ddb942b9d49138fc77,Afiliado,Incapacidad temporal,3954699509834567bb01761fcc8b71ba
24,b66085e9eed1489183e88727cf4e26e1,Pensionista,Prestamo hipotecario,8fe27242798f4c9385d45d4bde83c5ad
25,2e471e06c4e24e66bb68704718712850,Afiliado,Por el estado,825ec9cd17bd40e2a4c12feef633e77d
26,5b72b7df5a8f4e6aaefe01a8481a114f,Pensionista,Asistencia por maternidad,fd50eefafc294afb89fd08831ebfaffd
27,3f91322eb8cc4dd4a3e6c3498f92aac0,Afiliado,Incapacidad absoluta,3a02e9edcd564b9682a33e0bb689e0f1
28,da797b98b7c14235b2fce378d2f0fffa,Pensionista,Incapacidad temporal,78da572be66e470c8c05cc7e78b01d9c
29,668cc0dce1a74b509dcf2f2288547802,Afiliado,Pension por vejez,09d2c8b395c245aea332341d2c33d923
30,6a4a675fe4ca45b88288c6152f73614c,Afiliado,Jubilacion,cdef69fb06f442929325b365eca77aee
31,0219ea50876a4105ba8c879b1dff7bb9,Pensionista,Incapacidad temporal,6d2973d2caa742d09a2b9177b6385057
32,497f7910ec9a4cb7aeb8fae4463c580d,Afiliado,Incapacidad absoluta,1adb1c332e4c4b74ade4fd0d4335871d
33,1ff0d157034a4bea8c59d2c95cd42878,Afiliado,Incapacidad absoluta,de24fcbd1e194a2581ca42855b1d65c6
34,145ca2b3f6844cecb5e95741a7a74ac0,Pensionista,Incapacidad absoluta,9f2fce06eff447caaa2353366ed2c807
35,6738a645275c46f890891ceeaf658bcb,Pensionista,Prestamo hipotecario,3cb45217480a4a3d893b304a5e65ee51
36,c5f25d90c4c34325a51e315f2bde943f,Pensionista,Asistencia por enfermedad,ccdae0589b154b7197aa56dd8f1eadb4
37,f47e2c71405246f4b37df8c43b7735cf,Afiliado,Asistencia por enfermedad,39d83d7649b2423696fc6dcff09acab5
38,7839670b55bc4f16bc6b8a5fd9aed33a,Pensionista,Por el estado,66740b9335074f7c9c64140dc69329fc
39,c715f50c53664f16933f89bd45fc5fa5,Afiliado,Incapacidad absoluta,7cffe51c52744270958afef2c4f5857c
40,c53adf4fd13a44e5bee7a44e0a968a85,Afiliado,Prestamo hipotecario,84967d8e249f4f3ab8bdc74b8264cea4
41,65ffd24398d54d6d89299a751ee823c2,Afiliado,Prestamo hipotecario,bdac0d9c4a9d436aaac1bf9bff145d26
42,4ffb9b8757fc42c7941f3886036a059e,Afiliado,Asistencia por enfermedad,dfea22bcd5b4442f850e28082400e9b6
43,5effa191cb05431b843a98e952b65836,Pensionista,Asistencia por enfermedad,30afb95dc2104033908089ced63cdda6
44,884c42d6c9fd48088c376a8284709ce8,Afiliado,Incapacidad temporal,a11b7372f9024572b7b72b926301be7b
45,b33e747e177f46f8b5768f8e035a9c2b,Afiliado,Prestamo hipotecario,c20d2c6b56894157a378abd64561be79
46,b4311c848349487d980fb211786dabfe,Afiliado,Incapacidad temporal,3f71e5dab94d428b8d0c2ad278fe2099
47,6f3ee286fc984d44ab074c0ae734fb3e,Pensionista,Pension por vejez,32f71299ecb048ee8e4cddd33433d5c9
48,73de17d0e4ba42b1ab296bba559d48d5,Afiliado,Obra social,fb1e8c73c8de4484b13643de0346470f
49,18af0c28c1e44e23b62951abe2e3896d,Pensionista,Asistencia por enfermedad,3287a1580f80403c92654cfe383f4a8a
